2024-03-24 14:50:24,630 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 14:50:27,078 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 14:50:29,691 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 14:51:55,009 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 14:51:58,085 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 14:52:00,700 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 14:55:36,967 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 14:55:38,400 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 14:55:40,990 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 14:56:01,088 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 14:56:02,191 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 14:56:04,825 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 14:56:56,197 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 14:56:57,656 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 14:57:00,445 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 14:57:30,419 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 14:57:33,991 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 14:57:36,626 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 14:58:16,028 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 14:58:17,391 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 14:58:19,990 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 14:58:31,067 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 14:58:36,744 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 14:58:39,326 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 14:58:49,910 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 14:58:59,781 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 14:59:02,424 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 14:59:39,851 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 14:59:40,902 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 14:59:43,433 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 14:59:59,654 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 15:00:21,654 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 15:00:26,231 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 15:02:34,127 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 15:02:39,161 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 15:02:41,741 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 15:12:32,372 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 15:21:11,142 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 15:21:13,879 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 15:26:42,397 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 15:30:42,673 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 15:30:45,309 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 15:36:07,789 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 15:38:37,135 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 15:38:39,734 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 15:39:33,800 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-24 15:39:49,898 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-24 15:39:52,578 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-24 17:35:14,643 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 05:14:04,464 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-03-26 05:14:04,466 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-03-26 05:14:04,467 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-03-26 15:22:39,725 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=0, releaselevel='final', serial=0)
2024-03-26 15:22:39,725 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-10.16-x86_64-i386-64bit
2024-03-26 15:22:39,726 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:22:42,375 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:23:24,256 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:23:31,502 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:23:36,116 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:24:11,693 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:27:29,758 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:27:32,315 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:28:46,116 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:29:09,188 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:29:11,841 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:29:37,297 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:29:49,242 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:29:51,859 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:30:03,266 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:30:08,840 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:30:15,875 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:31:14,861 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:32:46,363 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:32:49,099 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:34:11,737 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:34:50,928 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:34:53,691 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:35:54,263 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:37:38,849 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:37:41,630 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:40:05,693 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:43:11,046 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:43:15,783 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:44:38,899 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:45:55,839 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:45:58,592 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:47:20,120 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:47:36,751 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:47:39,333 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:50:05,237 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:50:14,230 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:50:18,944 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 15:53:12,434 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 15:57:46,517 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 15:57:49,318 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 16:01:02,143 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 16:01:44,213 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 16:01:46,856 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 16:02:30,033 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 16:03:26,720 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 16:03:31,300 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 16:05:44,338 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 16:06:43,565 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 16:06:48,178 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 16:07:38,187 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 16:07:42,896 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 16:07:45,443 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 16:09:06,030 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 16:11:01,435 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 16:11:04,117 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 16:11:25,328 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 16:14:51,751 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 16:14:54,274 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 16:15:46,361 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 16:37:27,001 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 16:37:29,565 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
